"region";"mun_obr";"oktmo";"year";"F1ST";"F1SIS";"F1SIGAL";"F1SSD";"F1SCM";"F1SNO";"F1SH";"F1SVOCS";"F1SOGAL";"F5SFS";"F5SFSD";"F5SFCM";"F5SFNO";"F5SFH";"F5STS";"F5STSD";"F5STCM";"F5STNO";"F5STH";"F1BTWC";"F1BSWC";"F1BGALWC";"F1BSDWC";"F1BCMWC";"F1BNO2WC";"F1BHWC";"F1BVOCSWC";"F1BOGALWC";"F1BTWCO";"F1BSWCO";"F1BGALWCO";"F1BSDWCO";"F1BCMWCO";"F1BNO2WCO";"F1BHWCO";"F1BVOCSWCO";"F1BOGALWCO";"F1BTTF";"F1BSTF";"F1BGALTF";"F1BSDTF";"F1BCMTF";"F1BNO2TF";"F1BHTF";"F1BVOCSTF";"F1BOGALTF";"F1BTTFC";"F1BSTFC";"F1BGALTFC";"F1BSDTFC";"F1BCMTFC";"F1BNO2TFC";"F1BHTFC";"F1BVOCSTFC";"F1BOGALTFC";"F1BTTFU";"F1BSTFU";"F1BGALTFU";"F1BSDTFU";"F1BCMTFU";"F1BNO2TFU";"F1BHTFU";"F1BVOCSTFU";"F1BOGALTFU";"F1BTE";"F1BSE";"F1BGALE";"F1BSDE";"F1BCME";"F1BNO2E";"F1BHE";"F1BVOCSE";"F1BOGALE"
Республика Мордовия;Чамзинский муниципальный район;"89657000";2020;11589.015052572;1228.7119726;10360.303177152;2.4400275;1485.4451447;7155.55949408;1484.3364266;120.8321565;111.689927772;0.0115308;0.4506885;580.7411167;415.7347649;0.1916575;1228.700442;1.988339;904.449028;6739.76872918;120.817509;10537.310052572;177.0069726;10360.303177152;2.4400275;1485.4451447;7155.55949408;1484.3364266;120.8321565;111.689927772;9100.3082041458;111.389;8988.9188041458;0.736;1441.378782;7141.311022;270.473;62.608;72.41200014576;301819.884;301819.884;0.0;0.0;0.0;0.0;0.0;0.0;0.0;300768.179;300768.179;0.0;0.0;0.0;0.0;0.0;0.0;0.0;300745.125;300745.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11589.015052572;1228.7119726;10360.303177152;2.4400275;1485.4451447;7155.55949408;1484.3364266;120.8321565;111.689927772
Республика Саха (Якутия);Абыйский муниципальный район;"98601000";2019;1619.249;683.509;935.74;121.325;655.662;97.218;0.001;61.524;0.01;682.908;120.263;644.113;89.61;38.366;0.601;1.062;11.549;7.608;23.159;1619.249;683.509;935.74;121.325;655.662;97.218;0.001;61.524;0.01;1583.958;680.636;903.322;121.32;644.09;96.541;0.0;41.371;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1619.249;683.509;935.74;121.325;655.662;97.218;0.001;61.524;0.01
Республика Саха (Якутия);Абыйский муниципальный район;"98601000";2020;1702.091;706.178;995.913;117.051;684.03;142.159;0.0;52.663;0.01;705.666;115.996;672.531;134.557;29.333;0.512;1.055;11.499;7.602;23.33;1702.091;706.178;995.913;117.051;684.03;142.159;0.0;52.663;0.01;1645.602;699.103;946.499;115.553;667.276;134.337;0.0;29.333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1702.091;706.178;995.913;117.051;684.03;142.159;0.0;52.663;0.01
Республика Саха (Якутия);Алданский муниципальный район;"98603000";2019;12922.737;3247.17;9675.567;1226.6905;7038.259;1058.6605;92.699;205.826;53.432;2647.62;1180.375;6636.754;753.152;33.299;581.701;46.0235;393.747;305.0145;185.37;11672.182;1996.683;9675.499;1226.6905;7038.259;1058.6605;92.647;205.826;53.416;10052.59;1390.772;8661.818;1187.517;6667.621;748.963;2.508;31.897;23.312;8365.691;8361.469;4.222;0.0;0.0;0.0;1.866;0.0;2.356;7115.136;7110.982;4.154;0.0;0.0;0.0;1.814;0.0;2.34;415.282;415.282;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12922.737;3247.17;9675.567;1226.6905;7038.259;1058.6605;92.699;205.826;53.432
Республика Саха (Якутия);Алданский муниципальный район;"98603000";2020;17384.716235;4250.242646;13134.473085;1347.258384;7768.303803;2126.407044;1019.384;697.903772;175.216082;2550.701408228;1182.64;6873.40305;1004.597275;142.175;1694.791238;164.614384;894.879753;1121.809769;570.687772;16270.257235;3135.851646;13134.405085;1347.258384;7768.303803;2126.407044;1019.332;697.903772;175.200082;11415.760146;1378.123124;10037.636218;1169.821349;6779.43709;976.765007;929.093;136.891772;45.628;7837.674;7836.055;1.619;0.0;0.0;0.0;1.303;0.0;0.316;6723.215;6721.664;1.551;0.0;0.0;0.0;1.251;0.0;0.3;4971.387;4971.387;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17384.716235;4250.242646;13134.473085;1347.258384;7768.303803;2126.407044;1019.384;697.903772;175.216082
Республика Саха (Якутия);Аллаиховский муниципальный район;"98606000";2019;245.867;12.308;233.559;49.698;71.256;68.271;0.007;44.321;0.006;12.294;49.695;68.145;68.083;30.496;0.014;0.003;3.111;0.188;13.832;245.867;12.308;233.559;49.698;71.256;68.271;0.007;44.321;0.006;228.71;12.295;216.415;49.696;68.13;68.09;0.007;30.492;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;245.867;12.308;233.559;49.698;71.256;68.271;0.007;44.321;0.006
Республика Саха (Якутия);Аллаиховский муниципальный район;"98606000";2020;326.791;15.776;311.015;51.022;98.171;118.935;0.008;42.873;0.006;15.762;51.019;95.06;118.747;29.019;0.014;0.003;3.111;0.188;13.862;326.791;15.776;311.015;51.022;98.171;118.935;0.008;42.873;0.006;309.604;15.763;293.841;51.02;95.045;118.754;0.008;29.014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;326.791;15.776;311.015;51.022;98.171;118.935;0.008;42.873;0.006
Республика Саха (Якутия);Амгинский муниципальный район;"98608000";2019;4295.01;1182.533;3112.477;256.251;2685.618;168.095;0.0;2.513;0.0;1181.898;256.241;2685.003;167.982;2.403;0.635;0.01;0.615;0.113;0.11;4295.01;1182.533;3112.477;256.251;2685.618;168.095;0.0;2.513;0.0;4292.985;1181.342;3111.643;256.241;2685.004;167.983;0.0;2.415;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4295.01;1182.533;3112.477;256.251;2685.618;168.095;0.0;2.513;0.0
Республика Саха (Якутия);Амгинский муниципальный район;"98608000";2020;4517.092;1271.218;3245.8737;264.905;2796.1327;179.803;0.0;5.033;0.0;1270.593;264.896;2795.5997;179.7;4.931;0.625;0.009;0.533;0.103;0.102;4517.092;1271.218;3245.8737;264.905;2796.1327;179.803;0.0;5.033;0.0;4515.733;1270.592;3245.1407;264.896;2795.6007;179.701;0.0;4.943;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4517.092;1271.218;3245.8737;264.905;2796.1327;179.803;0.0;5.033;0.0
Республика Саха (Якутия);Анабарский национальный (долгано-эвенкийский) муниципальный район;"98610000";2019;1399.081;338.863;1060.218;41.933;403.267;541.349;0.064;73.569;0.036;17.336;41.556;120.572;132.09;27.084;321.527;0.377;282.695;409.259;46.485;1399.081;338.863;1060.218;41.933;403.267;541.349;0.064;73.569;0.036;339.174;17.71;321.464;41.556;120.664;132.104;0.0;27.105;0.035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1399.081;338.863;1060.218;41.933;403.267;541.349;0.064;73.569;0.036
